X,Y,U,V,T,
0.4825,0.0075,-0.00946282,-0.000167041,0.152614,
0.4875,0.0075,-0.00925728,-0.000181927,0.152317,
0.4925,0.0075,-0.009035,-0.000196343,0.152019,
0.4975,0.0075,-0.00879662,-0.000210147,0.151719,
0.5025,0.0075,-0.00854296,-0.000223209,0.151416,
0.5075,0.0075,-0.00827493,-0.000235397,0.151112,
0.5125,0.0075,-0.00799363,-0.000246591,0.150806,
0.5175,0.0075,-0.00770028,-0.000256679,0.150498,
0.5225,0.0075,-0.00739619,-0.00026556,0.150189,
0.5275,0.0075,-0.0070828,-0.000273145,0.149877,
0.5325,0.0075,-0.00676164,-0.000279365,0.149563,
0.5375,0.0075,-0.00643431,-0.000284161,0.149248,
0.5425,0.0075,-0.00610245,-0.000287494,0.14893,
0.5475,0.0075,-0.00576774,-0.000289341,0.148611,
0.5525,0.0075,-0.00543189,-0.000289699,0.148289,
0.5575,0.0075,-0.00509659,-0.00028858,0.147965,
0.5625,0.0075,-0.0047635,-0.000286015,0.147639,
0.5675,0.0075,-0.00443426,-0.000282051,0.147311,
0.5725,0.0075,-0.00411042,-0.000276751,0.14698,
0.5775,0.0075,-0.00379348,-0.000270188,0.146646,
0.5825,0.0075,-0.00348484,-0.000262453,0.14631,
0.5875,0.0075,-0.0031858,-0.000253641,0.14597,
0.5925,0.0075,-0.00289754,-0.000243859,0.145627,
0.5975,0.0075,-0.00262113,-0.000233218,0.145281,
0.6025,0.0075,-0.00235752,-0.000221831,0.144931,
0.6075,0.0075,-0.00210752,-0.000209811,0.144577,
0.6125,0.0075,-0.00187182,-0.00019727,0.14422,
0.6175,0.0075,-0.00165102,-0.000184314,0.143857,
0.6225,0.0075,-0.00144557,-0.000171039,0.14349,
0.6275,0.0075,-0.00125586,-0.00015753,0.143118,
0.6325,0.0075,-0.00108215,-0.000143859,0.14274,
0.6375,0.0075,-0.000924686,-0.000130079,0.142357,
0.6425,0.0075,-0.000783639,-0.000116223,0.141968,
0.6475,0.0075,-0.000659176,-0.0001023,0.141572,
0.6525,0.0075,-0.000551475,-8.82916e-05,0.14117,
0.6575,0.0075,-0.000460758,-7.41516e-05,0.140761,
